family,instance,ppd_clean,n_reps,modularity,n_edges,degree_cv
uf150-645,uf150-069.cnf,26.345215105160708,12,0.17591116986826377,1773,0.2788138534907708
uf150-645,uf150-091.cnf,25.233167696298857,12,0.1832779814247274,1771,0.3076946577143585
uf150-645,uf150-085.cnf,23.104931166967592,12,0.17948226936148334,1793,0.26486792670009557
uf150-645,uf150-095.cnf,25.457308567198893,12,0.17982519747077166,1789,0.2732618559631574
uf150-645,uf150-064.cnf,25.337400351409432,12,0.17864524701373447,1784,0.2696964493333038
uf150-645,uf150-088.cnf,24.788377959865862,12,0.18126100861994138,1789,0.267443933974193
uf150-645,uf150-07.cnf,24.49636523719517,12,0.1821263412321642,1768,0.28454105175545963
uf150-645,uf150-090.cnf,25.428452238654643,12,0.17887466698716023,1770,0.2601048318211646
uf150-645,uf150-072.cnf,23.857423640978723,12,0.18141698215251487,1772,0.29264646884237616
uf150-645,uf150-094.cnf,24.454001464592043,12,0.17300696405798263,1792,0.29278424967338174
uf150-645,uf150-083.cnf,25.251903979916584,12,0.1827195213962836,1775,0.2751738298349639
uf150-645,uf150-067.cnf,23.990668864839904,12,0.1878455488118369,1761,0.2811187346881475
uf150-645,uf150-038.cnf,25.11114966026674,12,0.17957654788374097,1775,0.26729309135983903
uf150-645,uf150-087.cnf,24.093968416088387,12,0.18255286474504068,1767,0.2683472090500515
uf150-645,uf150-079.cnf,26.891338601489146,12,0.18249784668389318,1787,0.2365558275697189
uf150-645,uf150-041.cnf,24.625444685480236,12,0.17873391689869064,1784,0.2557264395241627
uf150-645,uf150-059.cnf,25.04827260136738,12,0.1764605492458386,1783,0.28778258485295455
uf150-645,uf150-032.cnf,24.248919532741848,12,0.17876249424113133,1790,0.2930596170041031
uf150-645,uf150-080.cnf,25.14649891957915,12,0.18728281553592532,1782,0.26226661886184044
uf150-645,uf150-075.cnf,25.202373813379882,12,0.18243935660917812,1763,0.2841155165446326
uf150-645,uf150-042.cnf,26.268507359929917,12,0.1790861927368147,1780,0.2882027056384582
uf150-645,uf150-086.cnf,24.221077547644857,12,0.17923949548972085,1776,0.2735568755966772
uf150-645,uf150-081.cnf,26.41490657873675,12,0.18567206831854388,1785,0.2725229096240592
uf150-645,uf150-09.cnf,25.371679242368586,12,0.17322863877037303,1786,0.2738515774064528
uf150-645,uf150-077.cnf,25.22803063685025,12,0.17727032964098047,1776,0.2608789550561383
uf150-645,uf150-097.cnf,25.177514476166422,12,0.17966842270429795,1774,0.2608789550561383
uf150-645,uf150-099.cnf,25.8003102598089,12,0.18335970728254847,1779,0.29824329345776623
uf150-645,uf150-056.cnf,24.979253903337312,12,0.1784382615895145,1783,0.29112657605599335
uf150-645,uf150-078.cnf,25.11775440150319,12,0.1878861446627807,1798,0.26471561620636197
uf150-645,uf150-034.cnf,24.96038283454257,12,0.1772601806782445,1767,0.2772181315472479
uf150-645,uf150-061.cnf,25.235388018687498,12,0.17896093317041578,1792,0.27968040990339765
