hash,family,ppd,modularity,degree_cv,n_clauses,skipped_long
5156e5983365d1c3e4c10be1ab9404e8,miter,22.9703,0.5210,0.5058,630,0
547ee6e6f03bfe77e39987b8c6936519,scheduling,78.7058,0.7261,0.5879,13616,0
5481abf46acb8b750ba0fc041d84f95d,quasigroup-completion,17.3394,0.4533,1.3411,13340,0
57f34c7f226121206e07b7219879838d,planning,16.4167,0.5827,0.4769,3086,0
59ded647826181af059f60779b875e67,fpga-routing,34.8197,0.8834,0.7898,130997,0
5b9fd1dfacf03372a45cdbf14c6315ce,fpga-routing,46.8526,0.7858,0.6433,36129,0
5bdadbd296bfcd8254fda1e650fe56f0,cryptography,10.9739,0.8187,0.5354,211949,0
5d1c99873e9630383ab85019beecfe89,quasigroup-completion,11.4654,0.5485,1.3290,15897,0
5ed0bbcb957ecc8ef2a049620f91385a,miter,60.4327,0.7807,0.6703,9526,0
5fcfad9a73901d5b08c57f82f9c5cf95,testpattern-generation,16.6957,0.8730,0.4265,7295,0
6486cd04a3965e50cc0fa261511b86fc,fpga-routing,16.665,0.8543,0.7191,36344,0
11dcd55f9d6ce8873cd8150ce5ca6c4e,planning,43.4307,0.7985,0.6462,887558,0
11eb35e15cc12c52b20174da5b71f039,bitvector,45.1997,0.9534,0.3420,598120,0
13cff41e276654c44b1a23d118bd698e,scheduling,24.6204,0.7856,0.5131,113942,0
1e62a8b371d5a7de99faffc52d915e26,diagnosis,1629.6569,0.9392,1.0108,691663,0
2f9ce6a257b9736f3ac791e8e62f32c5,design-debugging,989.84,0.9482,2.5788,935928,0
321c2c54364ef2c3cd15beab6de42ca8,design-debugging,30556.8,0.9589,2.5776,1632390,0
37450147d1a972829b0e6b3cf9d6ccaa,design-debugging,3944.1429,0.9482,2.5783,935928,0
4076b976f0337108afb6fcafe2548294,software-verification,1149.1985,0.8934,2.7424,1290994,2832
43c2a4e1db24cc4ae0859da7e038d070,planning,466.4946,0.7914,4.5769,874988,796
43e492bccfd57029b758897b17d7f04f,scheduling,436.588,0.9050,0.8368,654778,0
4546fab27cba3b7f81f04a27804007f1,diagnosis,1281.5953,0.9088,0.5072,806681,0
469aff5a43a9257e35f9c6742222d75d,bitvector,3.5054,0.9940,0.4882,778811,0
4928fcd2037af940ef3bbeb9fad2754d,bitvector,3.8526,0.9948,0.4882,1012109,0
49538efad8a86131663aff9cd8e6d891,bitvector,9.0,0.9941,0.4285,476752,0
4afe58f1411a91caffdaf28eb24db279,miter,163.2338,0.8913,2.3696,1276689,0
4e9552083f7a7510a195fd8990caeecf,diagnosis,477.3212,0.9250,1.0203,500875,0
595710a1ccc21614ed557f0feae92f73,diagnosis,211.2282,0.9411,1.0016,832285,0
64ac2fa4336178304e4a1d45f3893f4c,scheduling,107.2145,0.7221,1.0053,420222,0
652bc63d7054bd9e06da4adfbd2fc397,cryptography,44.5748,0.8187,0.5354,211949,0
65da22e0cf3c1479a8a2291a449d2b6a,prime-factoring,283.3878,0.7360,0.6957,11001,0
677a85e7ceb02e51b47db7fb60445924,diagnosis,790.0186,0.9097,0.5210,815583,0
68fb9e8640946901d3957dc0499bfc4d,fpga-routing,8.2234,0.8675,0.0524,1166,0
69f6dd335626a9b71bfc6f2332f52b9d,scheduling,45.898,0.5922,0.6367,1106,0
6a1a89aaf40ad7aded6393d4089af2ea,testpattern-generation,17.9194,0.8723,0.4237,7307,0
6da135e88d08796e1fbc7c8378fcc785,coloring,64.9801,0.6392,0.0000,1536,0
6ddb1d74448f67dbc7f9ce40023125df,bitvector,48.4765,0.8769,2.5661,1149791,0
71dbf7ab78ef93c3d491c67752f03fd1,miter,53.2535,0.8927,0.7572,181073,0
7217bd62528cf71d639224eecca2da86,bitvector,507.8119,0.8448,1.0579,34454,0
72d3e22687e7913644f17c8b59fcafb6,prime-factoring,241.7557,0.7352,0.6957,11001,0
7310f9bbd57a85c7e808d237c8ac6d52,miter,45.9532,0.7796,1.9014,35229,1
7499847c9ffc5b7f60e8ee68573ecc2d,bitvector,44.3007,0.8928,2.4426,158933,0
779d4b59a9aab723af1db5b72e58ac7d,quasigroup-completion,17.1987,0.4544,3.3194,8013,0
78bb5dc48b6b5cd47feb6c5eab421d9b,miter,115.7936,0.9267,1.9361,346850,0
7edf55fdf6dc152493b5e2aaa86977e5,planning,165.0172,0.9427,0.8080,434165,0
83a96a7c2273f9a59624cb37be0cf24d,prime-factoring,345.7685,0.7991,0.8647,24320,0
8647c26ddc3d8d67dd6691583b83f310,miter,2.0348,0.4748,4.9201,11794,2
8846c4e670244c665607ebc6d0a9a5cc,fpga-routing,62.1506,0.8360,0.6928,32450,0
8d384ee7598d39a0a2dada9cc6f411d9,coloring,56.2684,0.6230,0.0000,1196,0
8fa68e4ae4dc0395c853cb7d4dafdb35,miter,156.3907,0.9126,1.3063,331028,0
901745fe9f830f5206c0cf99e68b3e1b,testpattern-generation,8.7658,0.8419,0.8722,3296,0
90533bfd1da71a799d046bca275303b9,fpga-routing,5.292,0.8225,0.8268,15358,0
916035abcafaad8ed3a555c4b726e7fc,diagnosis,810.0614,0.9585,0.9585,1368643,0
932d18594f1d0b3ee5c67b67745e55f7,fpga-routing,9.4491,0.8563,0.0072,990,0
9361e49a823baf899f11706cbd9b5e72,coloring,79.1639,0.6364,0.0000,1876,0
93df66fe35ae20e7dda278ac4c88123d,diagnosis,315.8838,0.9114,0.5461,1013700,0
947ad7c9f0c0a94ac3fd03b90a50c272,prime-factoring,125.5278,0.7026,0.5333,4777,0
9555e601f3faa7ba666378d2b2678c49,planning,126.9692,0.8776,0.8327,49177,0
95ee4af256f84b50aae14f8f620850a5,scheduling,57.3227,0.7250,0.6151,14500,0
9608f92659d36a5bb90370662a1cb761,bitvector,73.4322,0.9343,0.2791,167692,0
975cddad1afb6694e2a4ef252b1f2109,bitvector,519.6822,0.8400,1.1396,33833,0
97f0882d3c8f1d17c100c1b3214c00e7,scheduling,44.0443,0.6029,0.6208,1134,0
9c34300615109a8f111055a9b48c13d6,coloring,9.6393,0.7501,0.0000,756,0
9df7f45363e2fd8186db17f3a951fccf,hardware-verification,160.104,0.8927,1.1957,214786,0
9ef46b401df36e4110d09c4f60a13ad4,cryptography,60.8639,0.2311,0.0042,76775,0
9f418fa793e7b1e57a6d56e5aa6d7145,bitvector,36.6109,0.9592,0.3892,1130525,0
a0b76f95482dd0f2d575b8859c7bc549,miter,24.8101,0.5152,0.5042,630,0
a0bfed3e5f7b31720029e8b42a3865ac,bitvector,108.9188,0.8813,3.1706,302921,0
a14004e92effe93ea79dbf1b269bf3bb,quasigroup-completion,7.9257,0.4512,3.7346,6847,0
a15a3a637ac8ee47d65e5a1834021085,hardware-verification,190.2907,0.9547,1.9383,1215288,0
a48c6bde272ae96f0fe01271777a22d3,cryptography,60.8639,0.2311,0.0042,76775,0
a723d60f96607c2e54bcdbaf8a6b943c,cryptography,23.3764,0.5574,0.9369,121197,0
a7f58b183abd97e19ae5d77b6450fcc6,planning,41.2159,0.7660,0.7130,161959,0
a817258b60fd6eb46b96b3f9b4236cfd,diagnosis,1075.4416,0.9109,0.5357,885873,0
a8674bfdde8aa2a0468521abffabd6b7,scheduling,42.1508,0.7661,2.7544,552747,472
a966c820655e43166b9e83b5b8327f97,coloring,52.6622,0.6236,0.0000,1196,0
abbace7dc70bf8938153528c11a800d1,prime-factoring,318.211,0.7928,0.8026,17845,0
ad202768293c1e8d4581a00d13adcd31,bitvector,127.5628,0.9294,0.3401,73151,0
ad77e8b9cb5904fb60bbe9fcb9a4e4c9,prime-factoring,152.26,0.7031,0.5198,6563,0
aea96c852e73cccf900a701c3a4ba53c,diagnosis,534.8946,0.9088,0.5512,704840,0
af46163a76ef180b5884e99a8417f409,testpattern-generation,31.0222,0.8720,0.4277,7307,0
b027487aae5281a762f289318f6b6146,prime-factoring,100.2857,0.7003,0.5333,4777,0
b03035f857f8014c2105e32484efc8db,diagnosis,368.8117,0.9393,1.0049,831950,0
b204db0dce7f9a05790b7c8e85a0a609,testpattern-generation,19.7213,0.8714,0.4254,7306,0
b246b2b371bc766de2d1f5eb13ea9672,coloring,61.9362,0.6276,0.0000,1366,0
b3e069e1df11c02f22093b6ebd52345f,coloring,86.8225,0.6469,0.0051,2215,0
b40a1e31a6232b5e30534cb5208f0b71,scheduling,2.9077,0.6652,1.5180,487559,0
b5a08d7466b116c1117e6837c380f88a,quasigroup-completion,11.7645,0.3913,1.3928,16587,0
b60d07d457088e9a173837c0b8efa201,prime-factoring,208.3681,0.7042,0.5198,6563,0
b70b07489391f3e323d29718ad2d61db,fpga-routing,14.8765,0.9288,0.0000,1920,0
bb7aed760137c3250190ef9053dc0bef,software-verification,103.2387,0.6629,0.7067,2727,0
bd45768806383cd306b10e026790594f,planning,55.4824,0.9319,0.8492,29041,0
be845340bc27390b47b52b29c31aee02,prime-factoring,480.2339,0.7992,0.8647,24320,0
be9a6f49b162977be1c1a2fe0eedf987,hardware-verification,217.249,0.9057,0.9854,78058,0
bf5dca5c953247208a8960bb9b867cb6,prime-factoring,268.264,0.7347,0.6957,11001,0
c0ee301a9bae7b5ff51d87854d89d549,coloring,13.3627,0.3093,0.6310,4580,0
c14229d9604377e6fdf282f554056e44,quasigroup-completion,13.5272,0.3142,1.1335,17409,0
c2758faefec5e7abcc6c077106214581,bitvector,39.9564,0.9449,0.2574,333068,0
c2b569bfb62dad1700a325405a95dfa1,fpga-routing,21.9371,0.8168,0.6881,18870,0
c3dfabc07a14354de3e71457dc6632cb,planning,88.4623,0.8558,0.8530,45056,0
c3e0e65e139c5314b8df1bc3293c608e,diagnosis,559.1856,0.9170,0.6201,1180403,0
c49255402c653d2c90478b4e8f88381c,miter,179.0939,0.7433,0.2848,8881,1
c589cd14f61278a0c0e507dde649704f,scheduling,17.8049,0.6078,0.6851,1157,0
c5ce12e7059cfce8b754151289b7b7a7,quasigroup-completion,6.1455,0.4694,1.8650,21195,0
c6b615af5704716d42c23307e4f62c94,coloring,44.1547,0.6123,0.0000,856,0
c98cb332cef9805eb77f592e7470fc56,fpga-routing,20.4552,0.9329,0.0000,3460,0
caf945ecc09eb7e3392b251b753712f8,quasigroup-completion,28.205,0.5525,1.3319,16016,0
cd9a6767f4605213966294c59a569b52,miter,4.0395,0.6286,10.9857,61264,2
cdd5a62c5d3dffa917b0e7a9d8211994,coloring,36.7937,0.5096,0.0000,4059,0
ce3024e84a1cc2ed52e00040c23805bb,testpattern-generation,6.6,0.8419,0.8722,3296,0
cf381961b164085caa6c67b547f872ab,coloring,86.355,0.6387,0.0000,2046,0
d02c05db2db553967294055996cc291a,fpga-routing,11.5343,0.9246,0.0000,1212,0
d1abb05547e32e17361e3fc5aa5e4fe5,prime-factoring,218.5462,0.7009,0.5198,6563,0
d5ed2be381f3a58b0abaed0d95c1b2a2,hardware-verification,56.303,0.8858,1.6935,283993,0
d8499c1060a71b03ee69df044f743a35,fpga-routing,3.4176,0.5900,0.8598,270136,0
daf59d675b57107ac1179bd2769c4d89,scheduling,5.3396,0.6697,1.4751,1279346,0
dd5eb1bc337be11ab832e945a0c6cb6d,cryptography,6802.9116,0.9519,0.8874,93878,0
e40736ff7c03687dfaacce1da730d115,testpattern-generation,43.4574,0.8731,0.4245,7296,0
e84c7a79ff498abc627acf82bb5d003a,fpga-routing,11.4761,0.8661,0.6468,57495,0
eda154ac9b1db0ea59c2e5c2a4d686d9,diagnosis,535.9171,0.9314,1.0222,605085,0
edcc3e7206ee90a054054e93143f0deb,diagnosis,190.824,0.9473,1.0020,1006679,0
ee2931af7bf1246b68c70a04767f7407,coloring,36.2415,0.5087,0.0000,4059,0
eeac24c170880dd8465008f89816341d,cryptography,54.3545,0.7438,10.3052,210239,0
f10b15b078811d443c859aade6d3863b,cryptography,56.0977,0.8187,0.5354,211949,0
f250d74d1ad5d38873204be3ae122766,prime-factoring,76.9031,0.7591,1.0070,17080,0
f42ff899418dfff5c9c7c958b2a09177,cryptography,10.0107,0.7039,1.0020,478985,0
f4aa348328e3b23fffc81cf4dc05cd44,diagnosis,298.314,0.9493,1.0094,1172417,0
f4b20b0ce3ff1eb7cafce63ee095b2ed,diagnosis,206.8524,0.9359,1.0193,627223,0
f79b51d583e3477a96c8f69e6eb434ae,cryptography,9.1918,0.5501,1.0655,126548,0
f84ca44d421b988d48ecb0266afeba49,prime-factoring,458.9769,0.7986,0.8647,24320,0
f9246fd6fd1e617b3e71798543df32f7,cryptography,56.0181,0.2301,0.0045,67872,0
f98872116237d4b25a73bb2c4c64e331,quasigroup-completion,18.7493,0.4452,3.3885,7521,0
fc01f674fda3a5cb65a83bc2fd29cb8b,design-debugging,37.368,0.9421,3.7181,548748,0
fe2c6df3250d04882d7d253f488d60b9,miter,57.1746,0.7840,0.6703,9526,0
