family,hash,ppd,modularity,degree_cv,n_clauses
prime-factoring,7e8d26b8fe8e155898c283e4f65f5c6c,101.0373,0.7036,0.5333,4777
miter,c71ce0503267656a91312acbe2374f37,49.0251,0.7431,3.3559,62943
miter,0c7e74a3efcd698000f761accd506ac1,228.0424,0.7957,0.2793,16661
miter,137850d8a2886b3cdd1684b23384c9ad,47.7122,0.7443,3.3559,62943
miter,f543c8769f40a00fbcf94a08b1a3217f,356.0684,0.7667,0.2943,25061
miter,2e7ba230f7260df60ac5ef469c98757e,1.9120,0.2536,2.3708,6004
miter,fce130da1efd25fa9b12e59620a4146b,396.4806,0.8886,3.0223,1608156
miter,84d9a6877ddeb347ff4e433be3ae87d1,152.6053,0.7971,0.2858,9521
miter,853031a6aece919daca2c509546e5d81,334.5942,0.7324,3.0478,34509
miter,e7bb3ecd36cf994dba52956016e38231,143.6902,0.6593,0.3316,8901
miter,f181ce80b20939b3e794cbc57ababbf8,20.3887,0.8599,0.6586,15110
miter,00f2eb377986e7decbc863931680a3b2,166.7887,0.6365,0.3255,16661
miter,c023df1ea7d3c108b3462d5810b0fd68,3.0036,0.5415,2.9068,3406
miter,d8459ef811430ef47ef45b375a0da1ef,339.3820,0.8352,0.2770,25061
miter,791415d8a85d0bfc67dd2d3d4edcac7c,2.2876,0.8255,3.8440,1215440
miter,4fdb8f0242acf7f0c38a400b8326cb33,37.0444,0.8484,4.7945,179895
miter,13c6c5d376f59a6a2ad2a3bddd308011,178.6100,0.7082,0.3214,9521
miter,94510c0e55763df87618e9c54c60d84b,2.2905,0.4081,1.5172,1504
miter,4a52b64c8e51d22844c1b40a140225fa,6.5868,0.6715,0.3340,370
miter,9f939a249b15a528f977dd23378a553d,148.1192,0.6973,2.3928,22229
miter,1b8d4c52a9e18659d8912ee6aaf785ff,87.8714,0.5765,0.3561,7401
miter,18dde1481ff149a919e00db6eb6cc609,35.8029,0.8482,4.7945,179895
miter,32f41398df30119e715e900dfcb2c406,101.8116,0.5960,0.3466,10681
miter,465a2609dba34a4dcb56dd03643fb3b8,148.9404,0.6673,9.8375,39964
miter,ff2f06af479a72c3ccba0294766b6c03,432.5619,0.9495,2.3697,537875
miter,0a6722970ab81da486ca8c79b85f6c59,21.8130,0.5262,0.5037,630
miter,935a28b959a75a339a3dac2aad5acd5d,53.8425,0.7810,0.6777,9326
miter,4f0dace13685b367b52199037436c4e8,244.1310,0.8511,3.6846,1407187
miter,6b7149729b0cb152955589d8792347f9,4.0281,0.5546,2.6720,2998
miter,d17ece3e7feefbac9dec0061bb188d45,21.4510,0.8955,0.5135,20423
miter,c748c7d0cdf2459ff9d9ab2243da79a1,190.3343,0.9449,1.9988,460862
miter,a89b4675b2c3645a20bcdd7141e6e278,133.5234,0.8551,3.0343,1037694
miter,7d82edb3f471b4ea1e4dd4da99bf3f55,2.9407,0.6275,6.8829,23572
miter,6f2faf436943d36f61e82324e2acc7f3,16.2683,0.8748,0.8030,142406
miter,fb83bb2a43d873fd7982ae4317f9dcaa,2.2019,0.5911,3.3480,5015
miter,4533388344869b71c3305577ac3c299a,106.7346,0.5934,0.3450,12461
miter,7449b6a70e4da8e8e488c184352797a6,198.6948,0.8794,1.5235,175697
miter,cdbaa5fdcb407cabb59b56aac74940ed,14.4035,0.8666,0.4681,6756
miter,3067c64c195a00141cae08f283d27172,142.6974,0.6963,2.3928,22229
miter,3db350b36646dce8600afe76cfd43774,143.1123,0.7613,0.2843,7121
miter,ee59f6644f9629b6a12ef83f2c867911,24.7652,0.5332,0.5232,688
miter,2e4e9b9124c854aa7068a882ebdbab59,111.8834,0.6298,0.3197,7401
miter,24f15c98ee76c000c8406e68bc9dceab,25.7523,0.8398,0.4656,5108
miter,b5dc71d1dec6eb8559e7246dbf49fa08,24.1562,0.5235,0.5232,688
miter,5c316aee257edaeb78a52498eeb3d5bd,149.0353,0.6706,0.3229,12461
miter,f31a303ae25a43540cefa577a629de09,240.7523,0.8347,0.2777,17901
miter,47655cd4c6198c47a271a0e31a93b27d,99.3242,0.5971,0.3659,8901
miter,54ff7ae09469921a47c6971a12e5b805,211.0782,0.9387,1.8469,285404
miter,1ebf4009339b90c3575cf9d1dec33b45,216.4502,0.9338,2.6814,507524
miter,12aa3ed1a79232f2a381751f1161ca1f,150.6282,0.7372,0.2782,7401
planning,578f9377bfbfcc6ea3a18eb630667956,50.1825,0.9509,0.8041,32525
planning,f028b2c44f0f4536cfa17a4df153b889,4.4615,0.7157,0.4626,7840
planning,40c14c38362c8a8b8fb9849ecb2fb66e,23.6807,0.8069,0.5529,95876
planning,59db5319f6f63caeaf75b42eb6c2a1f5,8.3333,0.6575,0.5731,4366
planning,54f114bb254f6f886b82f05882926308,48.6438,0.8994,0.8097,10387
planning,75f4fa1c541a7012c0a26e8dc4919785,77.0005,0.8528,0.8290,40461
planning,bffb7ad751adc017acaf3bcce03c1111,36.0961,0.8878,0.4546,14012
planning,d11f9a1e8e0d510e84acf7065599883f,37.1437,0.8943,0.5868,27444
planning,a3e38c27d6d1d21b315da0c4ea454b2a,153.0000,0.6084,1.0634,6338
planning,3a01188d09ebe16b739a646c63f8f755,24.9701,0.9144,0.0597,36291
planning,daeec77e3a55ca12f28d984011fb4a92,7.5032,0.7031,0.5035,7359
planning,fa2576cc078f2b4e7d205670e75999e8,40.4010,0.7685,0.5495,37504
planning,d2800199a7c8d459cd0f26f10acb04a0,29.3491,0.7769,0.4184,12348
planning,579135d4b2f5231db817b387b1729dec,15.3639,0.8029,0.5584,81288
planning,e465fa1c262b019c7ac01a5fd53e911b,39.5105,0.8057,0.5535,79956
planning,2c7f53ede328263a433d01bfdd1114f2,49.7219,0.8025,0.6272,1476367
planning,6459a34b91aa3bc54a3c587579b1ac95,5.5882,0.6278,0.6031,3163
planning,431bfb466be51ecd86b321b5cbce6d3c,10.3557,0.7971,0.5568,72538
planning,cec5d86e0eae8234ca7c29b31c4674a6,14.0690,0.8037,0.5566,88870
planning,795a71e969aad84596bc5a6c25b2a783,66.3212,0.8536,0.6833,129253
planning,4483f9654fdf809f93ded32e47cea3d3,18.0625,0.7325,0.8046,16394
planning,3c78c658a543ff4108f88ade5698cd59,54.3684,0.8134,0.6006,7619
planning,7bdac0436c2584aef34b26351f519c92,77.5661,0.8561,0.8530,45056
planning,d9b8070a46cf4dc4dcaab2548c7abcaf,58.1724,0.8330,0.7755,27199
planning,c23afc080f8ef02256897e3b7eaf1229,53.9558,0.8342,0.6985,88373
planning,891ab1b3d09c52b0813d14fab7b94d39,188.9354,0.8006,6.1028,3386280
planning,6f8f8770f57cb1078836de8972d96283,16.0218,0.7789,0.6084,25949
planning,a41059478281d163424278c3e9720444,23.3606,0.8362,0.6817,12311
planning,076fba8945d3a54a06f326474477077d,12.2360,0.7654,0.5257,28950
planning,04fa0a71339fa76067a75ff448ef6f67,115.0678,0.9029,0.8140,93221
planning,b0efce8ba0b12f808d74cf0f71bab9ed,7.2658,0.7325,0.8046,16394
planning,589c28edb78dff1b711977fbaec34e18,58.8572,0.8774,0.3261,73777
planning,99e400c3e20ea3041de4e6ab381bc157,4.4231,0.6740,0.5610,4249
planning,48536cf83e806cb66dacd3c4b99952fb,227.3785,0.9506,2.4452,453174
planning,a822ae16f8c6576eb1aa8f004142dd40,44.0562,0.9338,0.7660,14495
planning,fc944317a95d82809f8c89f65d5365a0,80.0235,0.8529,0.8290,40461
planning,9910533c2683cd7f7812a5fd968a1c80,13.1136,0.6998,0.8111,3815
planning,b6a9a85c2a9f2f2113fc47a9fc613382,19.5714,0.7112,0.5660,5267
planning,53f7ea54008d7f0496e8f8d8f906bea7,34.4118,0.9237,0.8378,21427
planning,267af66281a78674c63e3b745b1ece66,16.3479,0.7159,0.8867,42437
planning,b21c1786dc3083abfd9c217854bbefea,20.0000,0.6376,0.5379,401
planning,b1654713158a777352b4bf00e6ffc820,15.3537,0.7560,0.5039,28326
planning,cfded6b843191489b90af6d44415a68f,55.3399,0.8807,0.3258,76235
planning,995e7dba6337cfba9ef882945876252b,7.8750,0.7028,0.5945,3944
planning,ee68d8042b246565dfa474364227487f,46.3349,0.8045,0.6114,2341084
planning,4da532170986c551e4b0642187cdb6d0,22.6226,0.7818,0.5423,50273
planning,a66bb4a01e21f05b59ada97a91a61048,8.3891,0.7976,0.5361,50937
planning,41486ea32ba4f776817167cccac4657f,41.0000,0.7081,0.7808,496
scheduling,0e1d562093d5f4fc9013cf4a14a03f70,76.9554,0.7585,0.6545,53685
scheduling,07ab9b6d4190543591cbb0824588d392,80.0065,0.7650,1.3453,34846
scheduling,c99a5f7021cad3b83f5ed9631eae4778,82.5752,0.7783,0.8332,327137
scheduling,bfcb35679af60e09406d32507ae00712,24.1322,0.7889,0.5478,162732
scheduling,7fc64dd40a4fee40c41f03e4ac0e97e3,3.7298,0.9411,0.1307,38465
scheduling,ef505d2801de3290d7f064ce1ff4a4fb,35.7150,0.6874,0.6566,5363
scheduling,cb2c49200bb3a06337fad4268bfeb0b8,16.8095,0.6661,0.3080,2880
scheduling,1433d3205714ca12c49bb276b9498bd8,93.0086,0.7887,0.8433,461664
scheduling,556af938b4ca822fcca49b3ad4db877e,44.2298,0.7395,0.6216,14372
scheduling,d30532d41d17098bc0a89388fcdd0d83,43.1235,0.6781,0.6443,5189
scheduling,1c342a5fa98241132762a00ba0f7b022,82.3553,0.8058,0.8734,420360
scheduling,3080bfdd7646a13856d9015b6836bbda,39.3319,0.6901,0.6663,5373
scheduling,54fafa92a0eb46edaebb498cb6390d99,136.3849,0.9495,2.9445,561784
scheduling,ea108a6b2a96244b1a218ce6a3550caa,90.7816,0.7901,0.8396,471346
scheduling,c80efd1e57e6dc7156ff6b081ad6a32d,29.6181,0.6862,0.6674,5293
scheduling,5a65b2818a3679e300f050aa7745e41a,3.9754,0.6752,1.4907,1067211
scheduling,2073250b0772f799a64c611587e66619,22.9450,0.7918,0.5423,160042
scheduling,7f7109dce621ef361a72b3e8cee9a962,98.6471,0.6743,0.6247,5037
scheduling,9a40f58b6cb174cd771d99f393aef61e,5.0702,0.6745,1.4811,1172463
scheduling,be6411f4784a3c879886dda807cdc607,862.6468,0.8525,0.7292,66598
scheduling,16206faa30c9acbd96c0e68beb3fedfc,90.4895,0.7255,0.6434,28484
scheduling,4a4d879d0110bb7a8f011ff77d81ac07,3.2020,0.6358,1.5005,1182310
scheduling,f547df256105a50d10a98540f0dd51a2,30.2773,0.6322,0.3816,174939
scheduling,54d44f1ca332382c50ac1d1ddac5fe42,62.0392,0.6698,0.6164,5122
scheduling,af9b96095121ea40fa9a7ff85adedd05,30.4818,0.6325,0.4262,181553
scheduling,883f7d87256be1601a9f96a1baa4954f,280.7084,0.9307,2.3051,653583
scheduling,09d7add3bf3b75c5d1023a92e752989a,49.6806,0.5870,0.6396,1085
scheduling,262ba88b7b11338ab81938c1dfe8dac7,4.1242,0.6814,1.4785,941906
scheduling,90804d5ba587247534a4c6defecd4a94,111.5206,0.7491,0.6335,51390
scheduling,95831af5f01d217142333685788b76ca,367.8555,0.9123,0.8728,1041009
scheduling,5d746ddafa5bed07e12a41f0c7e42678,19.7455,0.7914,0.5416,159981
scheduling,333c6e832c1c560bb453ce7ce1392cb8,82.1407,0.7323,0.6725,29558
scheduling,61b3c83de65f274fa4e623632fda6fb4,31.0818,0.6875,0.6557,5443
scheduling,a2af943b8846d402eeeb58a4560d33ea,10.9190,0.6638,1.4611,1513965
scheduling,0b289d226ccc2a1798af1006ae7d9c28,362.7774,0.9110,0.8919,1061114
scheduling,e2ab8f2c182f0a6e10958102e771cd8a,65.9575,0.7345,0.6727,29912
scheduling,51a52a104231f5c84230202f5e5ccbd4,5.3917,0.6585,1.4646,2086602
scheduling,40904f1896b972d35d53873ee247bdff,130.7902,0.7170,1.0545,458006
scheduling,0802ae5412e1596c92a036b52792eef7,137.7922,0.7285,1.0371,627210
scheduling,196673fd5fd26eebd8a9a2639a5f8228,3.9516,0.6162,0.7520,1202
scheduling,00a30fb1c0150fe3d6692afd2b220887,91.5326,0.7090,0.6374,28686
scheduling,829d75d6c2814ff99b1c300c43247f28,367.5381,0.8630,0.8260,333640
scheduling,3b2d21c531e690823d8c57e29dce22bc,513.0937,0.9209,0.9150,988171
scheduling,f87af7ce29551c596013ff914da29fe8,68.5794,0.8076,0.8911,184395
